Symbol,Description,Price,Price - Currency,Price Change % 1 day,Volume 1 day,Relative Volume 1 day,Market capitalization,Market capitalization - Currency,Price to earnings ratio,"Earnings per share diluted, Trailing 12 months","Earnings per share diluted, Trailing 12 months - Currency","Earnings per share diluted growth %, TTM YoY","Dividend yield %, Trailing 12 months",Sector,Analyst Rating
IOT,Samsara Inc.,30.515,USD,6.176061238691727,3883047,0.7152728636238913,17720557743.729992,USD,,-0.0176,USD,93.70754379692528,0,Technology services,Strong buy
PS,Pershing Square Inc.,37.99,USD,35.67857142857144,2167665,,15196000000,USD,,,,,0,Finance,No rating
PSKY,Paramount Skydance Corporation,11.09,USD,8.300781249999996,12285993,1.5039944995342216,12329208010.570312,USD,,-0.4432,USD,95.24325716677579,1.953125,Consumer services,Neutral
GME,GameStop Corporation,26.53,USD,6.33266533066133,20275628,3.0556762382603124,11895393161.742285,USD,35.6203007518797,0.7448,USD,180.42168674698794,0,Retail trade,No rating
ALTB,Alpine Auto Brokers Inc,10,USD,117.3913043478261,754,1.5195485691253527,9960999755.675674,USD,,-0.0004,USD,-300,0,Retail trade,No rating
FIG,FIGMA INC,18.74,USD,5.875706214689261,24134112,1.3963607642312839,9836057582.978533,USD,,-2.5614,USD,-70.54397762833743,0,Technology services,Buy
LUMN,"Lumen Technologies, Inc.",9.315,USD,5.3733031674208105,12042533,1.0876108338331996,9593720157.105206,USD,,-1.7483,USD,-3038.779174147217,0,Communications,Neutral
RIOT,"Riot Platforms, Inc.",18.5,USD,7.308584686774952,32904373,1.7500701198194604,7013828215.342229,USD,,-1.9177,USD,-656.8234610917538,0,Technology services,Strong buy
SAIL,"SailPoint, Inc.",12.07,USD,5.691768826619968,2110546,0.9206801900682213,6805107889.875657,USD,,-0.5272,USD,55.675130317807294,0,Technology services,Strong buy
KVYO,"Klaviyo, Inc. Series A",22.18,USD,10.403185664509705,6057654,1.3052580945168575,6759890133.073171,USD,,-0.1152,USD,33.21739130434782,0,Technology services,Strong buy
FROG,JFrog Ltd.,49.89,USD,7.428940568475459,2230707,1.1376090579242482,6044537660.47416,USD,,-0.6194,USD,1.3222877170623044,0,Technology services,Strong buy
XXI,"Twenty One Capital, Inc.",8.94,USD,7.194244604316542,1740975,1.618496416619789,5823434815.86,USD,26.309593878752207,0.3398,USD,1946.987951807229,0,Finance,No rating
S,"SentinelOne, Inc.",14.9,USD,5.225988700564973,5572102,0.9085726532725202,5070120066.765536,USD,,-1.3628,USD,-48.90734265734265,0,Technology services,Buy
NAVN,"Navan, Inc.",18.47,USD,5.603201829616927,3800172,1.7684103427219575,4631555795.6678095,USD,,-1.6011,USD,-119.47909527073337,0,Technology services,Strong buy
FSLY,"Fastly, Inc.",28.07,USD,11.146307661849145,8903064,1.12737334093352,4389247794.93328,USD,,-0.8329,USD,27.384481255449,0,Technology services,Neutral
NTSK,"Netskope, Inc.",10.52,USD,5.622489959839344,4737828,1.371729527387858,4211306556.409638,USD,,-1.7404,USD,-87.56331501239359,0,Technology services,Strong buy
GTLB,GitLab Inc.,24.05,USD,8.626919602529359,9894219,1.8275189784679478,4091674340.3816624,USD,,-0.3384,USD,-1121.6606498194944,0,Technology services,Neutral
SOUN,"SoundHound AI, Inc.",9.56,USD,20.10050251256282,68463848,2.3536571226811263,4074568194.4974875,USD,,-0.2786,USD,71.53657539844707,0,Technology services,Strong buy
NVTS,Navitas Semiconductor Corporation,17.45,USD,5.757575757575753,30110136,0.6495900350309747,4027333842.8454547,USD,,-0.5698,USD,-24.76461572148018,0,Electronic technology,Neutral
RNG,"RingCentral, Inc.",45.08,USD,12.083540527100944,2837564,2.0369903358743633,3790012228.7150674,USD,93.54637891678772,0.4819,USD,,0.186474390850323,Technology services,Buy
LIF,"Life360, Inc.",45.75,USD,6.17312601531677,803402,1.0150509931088139,3691481759.8920856,USD,26.037220420010243,1.7571,USD,,0,Technology services,Buy
HYMC,Hycroft Mining Holding Corporation,38.73,USD,6.226001097092693,2085536,1.0127813175545157,3538396078.3658795,USD,,-1.2783,USD,40.49436737733917,0,Non-energy minerals,Neutral
TRN,"Trinity Industries, Inc.",36.22,USD,11.070223857712357,1206216,1.8409772098530506,2885014300.834713,USD,11.621266082715692,3.1167,USD,91.6789667896679,3.74118368598589,Producer manufacturing,Neutral
BRZE,"Braze, Inc.",23.56,USD,6.945074897866535,2240843,1.0842679408473705,2672851454.3477077,USD,,-1.2291,USD,-20.42915931804822,0,Technology services,Strong buy
TDC,Teradata Corporation,27.96,USD,6.1100569259962025,1944704,1.168402032812281,2643070323.552182,USD,20.738762794837562,1.3482,USD,15.606242496998815,0,Technology services,Buy
VGNT,Versigent PLC,37.07,USD,6.005147269087794,1573966,1.0302257349271413,2633716515.3651705,USD,,,,,0,Producer manufacturing,Strong buy
ACHC,"Acadia Healthcare Company, Inc.",27.85,USD,7.549720023170503,5246909,1.4575728654618298,2563153012.050589,USD,,-12.2412,USD,-700.8540715653069,0,Health services,Buy
FRSH,Freshworks Inc.,8.75,USD,7.230392156862743,7181049,0.5476979165106312,2440857939.95098,USD,13.509340744171684,0.6477,USD,,0,Technology services,Buy
LWLG,"Lightwave Logic, Inc.",16.27,USD,18.586005830903783,16757049,1.8232964441764776,2421482548.4249268,USD,,-0.1523,USD,18.512573568753353,0,Process industries,No rating
MLYS,"Mineralys Therapeutics, Inc.",29.26,USD,9.79362101313322,2133144,2.5701409542206024,2412544024.6108823,USD,,-2.3785,USD,34.71936324962262,0,Health technology,Strong buy
ALRM,"Alarm.com Holdings, Inc.",47.13,USD,6.124746678675988,487461,1.0881403967442913,2340765960.976132,USD,19.131317231581086,2.4635,USD,7.825972775419086,0,Technology services,Buy
VERX,"Vertex, Inc.",13.19,USD,6.628940986257076,1077977,0.8641783997287159,2109836064.0557804,USD,303.91705069124424,0.0434,USD,,0,Technology services,Buy
BL,"BlackLine, Inc.",33.91,USD,8.51199999999999,1198400,1.2167465918099472,2021768105.5062397,USD,87.75879917184264,0.3864,USD,-82.64228920533668,0,Technology services,Buy
